portal_id,old_figure_count,new_figure_count,status
252802692090,N/A,N/A,SKIPPED_NO_MEDIA
252802692091,N/A,N/A,SKIPPED_NO_MEDIA
252802692092,2,0,MODIFIED
252802692093,2,0,MODIFIED
252802692094,N/A,N/A,SKIPPED_NO_MEDIA
252802692095,N/A,N/A,SKIPPED_NO_MEDIA
252802692096,N/A,N/A,SKIPPED_NO_MEDIA
252802692097,2,1,MODIFIED
252802692098,N/A,N/A,SKIPPED_NO_MEDIA
252802692099,N/A,N/A,SKIPPED_NO_MEDIA
252802692100,2,11,MODIFIED
252802692101,N/A,N/A,SKIPPED_NO_MEDIA
252802692102,2,1,MODIFIED
252802692103,2,1,MODIFIED
252802692104,2,0,MODIFIED
252802692105,N/A,N/A,SKIPPED_NO_MEDIA
252802692106,N/A,N/A,SKIPPED_NO_MEDIA
252802692107,N/A,N/A,SKIPPED_NO_MEDIA
252802692108,2,47,MODIFIED
252802692109,N/A,N/A,SKIPPED_NO_MEDIA
252802692110,2,0,MODIFIED
252802692111,2,3,MODIFIED
252802692112,2,6,MODIFIED
252802692113,N/A,N/A,SKIPPED_NO_MEDIA
252802692114,N/A,N/A,SKIPPED_NO_MEDIA
252802692115,N/A,N/A,SKIPPED_NO_MEDIA
252802692116,N/A,N/A,SKIPPED_NO_MEDIA
252802692117,2,8,MODIFIED
252802692118,2,1,MODIFIED
252802692119,N/A,N/A,SKIPPED_NO_MEDIA
252802692120,N/A,N/A,SKIPPED_NO_MEDIA
252802692121,N/A,N/A,SKIPPED_NO_MEDIA
252802692122,2,1,MODIFIED
252802692123,2,4,MODIFIED
252802692124,N/A,N/A,SKIPPED_NO_MEDIA
252802692125,N/A,N/A,SKIPPED_NO_MEDIA
252802692126,N/A,N/A,SKIPPED_NO_MEDIA
252802692127,2,1,MODIFIED
252802692128,N/A,N/A,SKIPPED_NO_MEDIA
252802692129,2,5,MODIFIED
252802692130,N/A,N/A,SKIPPED_NO_MEDIA
252802692131,2,5,MODIFIED
252802692132,2,0,MODIFIED
252802692133,2,0,MODIFIED
252802692134,2,6,MODIFIED
252802692135,N/A,N/A,SKIPPED_NO_MEDIA
252802692136,N/A,N/A,SKIPPED_NO_MEDIA
252802692137,2,2,UNCHANGED
252802692138,N/A,N/A,SKIPPED_NO_MEDIA
252802692139,2,3,MODIFIED
252802692140,2,33,MODIFIED
252802692141,N/A,N/A,SKIPPED_NO_MEDIA
252802692142,2,27,MODIFIED
252802692143,N/A,N/A,SKIPPED_NO_MEDIA
252802692144,2,12,MODIFIED
252802692145,2,3,MODIFIED
252802692146,N/A,N/A,SKIPPED_NO_MEDIA
252802692148,2,1,MODIFIED
